Partner,,HS Code,Product,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Period/Period %  Change (Value),Reporter Code,Partner Code,Product Code,
Taiwan,3,203210000,"SWN CARC,FZ",0,93,6,11,6,0,13,102,177,544,208,US,TW,203210000,
Taiwan,4,203292000,"SWN MT,NE,PRC,FZ","3,112",482,"2,154","2,595","2,149","1,720",593,390,926,403,-56,US,TW,203292000,
Taiwan,5,203221000,"HM,SH,PRC,FZ",0,"1,186",493,0,0,0,0,0,0,0,,US,TW,203221000,
"Bahamas, The",1,203294000,"SWN MT, FRZ","5,541","6,615","7,588","5,974","4,875","5,390","5,921","7,213","6,816","6,713",-2,US,BF,203294000,
"Bahamas, The",2,203229000,"HM/SH,X PRC,FRZ",620,"1,776","1,297","1,297","2,048","1,848","2,889","3,125","2,892","3,259",13,US,BF,203229000,
"Bahamas, The",3,203292000,"SWN MT,NE,PRC,FZ","1,688","1,842","2,480","1,567","1,940","1,181","1,928","2,279","3,314","2,838",-14,US,BF,203292000,
"Bahamas, The",4,203221000,"HM,SH,PRC,FZ",190,73,59,57,283,314,129,211,152,193,27,US,BF,203221000,
"Bahamas, The",5,203210000,"SWN CARC,FZ",0,24,20,7,23,17,16,13,16,40,155,US,BF,203210000,
Leeward-Windward Islands(*),1,203294000,"SWN MT, FRZ","2,218","2,560","2,778","2,999","3,393","2,520","3,386","4,705","4,103","5,012",22,US,Y1,203294000,
Leeward-Windward Islands(*),2,203292000,"SWN MT,NE,PRC,FZ",190,301,505,673,926,"1,066","1,174","1,888","2,427","2,140",-12,US,Y1,203292000,
Leeward-Windward Islands(*),3,203229000,"HM/SH,X PRC,FRZ",364,467,573,568,726,652,"1,091","1,190","1,363","1,883",38,US,Y1,203229000,
Leeward-Windward Islands(*),4,203221000,"HM,SH,PRC,FZ",238,264,225,315,540,242,455,312,398,471,18,US,Y1,203221000,
Leeward-Windward Islands(*),5,203210000,"SWN CARC,FZ",9,5,15,8,64,7,45,42,48,55,15,US,Y1,203210000,
Trinidad and Tobago,1,203294000,"SWN MT, FRZ","4,222","3,894","3,758","3,528","4,488","4,212","4,558","4,158","5,113","6,864",34,US,TD,203294000,
Trinidad and Tobago,2,203229000,"HM/SH,X PRC,FRZ",791,773,869,"1,019","1,443","1,657",815,388,944,"1,082",15,US,TD,203229000,
Trinidad and Tobago,3,203292000,"SWN MT,NE,PRC,FZ",511,370,420,124,188,373,182,436,595,727,22,US,TD,203292000,
Trinidad and Tobago,4,203221000,"HM,SH,PRC,FZ",510,186,158,192,142,18,86,169,281,350,25,US,TD,203221000,
Trinidad and Tobago,5,203210000,"SWN CARC,FZ",106,122,0,28,0,5,0,12,0,154,,US,TD,203210000,
Vietnam,1,203294000,"SWN MT, FRZ","1,944","2,110","1,816","2,818","5,379","32,046","8,827","4,919","6,154","6,775",10,US,VM,203294000,
Vietnam,2,203292000,"SWN MT,NE,PRC,FZ",142,484,598,"1,800","1,220","10,083","1,097",229,442,199,-55,US,VM,203292000,
Vietnam,3,203229000,"HM/SH,X PRC,FRZ",98,31,0,110,428,"3,965",542,145,554,54,-90,US,VM,203229000,
Vietnam,4,203210000,"SWN CARC,FZ",0,0,0,14,0,189,0,0,0,0,,US,VM,203210000,
Vietnam,5,203221000,"HM,SH,PRC,FZ",0,61,316,0,64,859,191,0,0,0,,US,VM,203221000,
Singapore,1,203294000,"SWN MT, FRZ","5,626","5,555","7,296","6,161","7,623","8,413","6,916","5,880","4,307","5,544",29,US,SN,203294000,
Singapore,2,203229000,"HM/SH,X PRC,FRZ",340,414,412,140,348,82,201,711,543,588,8,US,SN,203229000,
Singapore,3,203221000,"HM,SH,PRC,FZ",19,38,52,20,28,12,147,229,318,559,76,US,SN,203221000,
Singapore,4,203292000,"SWN MT,NE,PRC,FZ","2,027",847,"2,856","1,716","2,178","1,499",511,393,805,166,-79,US,SN,203292000,
Singapore,5,203210000,"SWN CARC,FZ",0,13,14,3,25,49,16,0,6,10,86,US,SN,203210000,
Netherlands Antilles(*),1,203294000,"SWN MT, FRZ","1,461","2,154","2,131","1,969","2,040","1,779","1,893","2,931","3,350","3,445",3,US,NT,203294000,
Netherlands Antilles(*),2,203292000,"SWN MT,NE,PRC,FZ",390,631,764,"1,308","1,193",452,"1,515","1,621","2,291","1,686",-26,US,NT,203292000,
Netherlands Antilles(*),3,203229000,"HM/SH,X PRC,FRZ",118,89,92,93,163,156,262,291,551,595,8,US,NT,203229000,
Netherlands Antilles(*),4,203221000,"HM,SH,PRC,FZ",54,88,545,366,504,71,115,324,381,186,-51,US,NT,203221000,
Netherlands Antilles(*),5,203210000,"SWN CARC,FZ",4,24,48,6,30,7,4,18,15,83,446,US,NT,203210000,
Peru,1,203294000,"SWN MT, FRZ","6,080","3,946","7,466","9,075","8,061","7,723","4,609","2,065","2,615","2,990",14,US,PE,203294000,
Peru,2,203229000,"HM/SH,X PRC,FRZ","1,067","1,008",673,"1,545","1,786","2,063","1,992","1,051","1,418","2,036",44,US,PE,203229000,
Peru,3,203292000,"SWN MT,NE,PRC,FZ",351,135,270,480,557,329,416,362,648,430,-34,US,PE,203292000,
Peru,4,203221000,"HM,SH,PRC,FZ",0,383,0,34,68,55,0,0,3,9,262,US,PE,203221000,
Peru,5,203210000,"SWN CARC,FZ",23,0,0,15,0,0,12,3,0,0,,US,PE,203210000,
Indonesia,1,203294000,"SWN MT, FRZ",594,407,594,"1,623","1,694",331,"1,866","1,265","1,617","2,525",56,US,ID,203294000,
Indonesia,2,203229000,"HM/SH,X PRC,FRZ",0,0,347,277,248,102,0,84,872,453,-48,US,ID,203229000,
Indonesia,3,203221000,"HM,SH,PRC,FZ",0,0,0,104,68,0,0,101,400,0,,US,ID,203221000,
Indonesia,4,203292000,"SWN MT,NE,PRC,FZ",786,805,403,181,264,81,0,71,527,0,,US,ID,203292000,
Turks and Caicos Islands,1,203294000,"SWN MT, FRZ",316,489,434,665,379,467,798,973,667,"1,146",72,US,TK,203294000,
Turks and Caicos Islands,2,203229000,"HM/SH,X PRC,FRZ",88,291,230,138,180,184,403,333,701,800,14,US,TK,203229000,
Turks and Caicos Islands,3,203292000,"SWN MT,NE,PRC,FZ",44,158,198,337,350,98,461,443,467,623,33,US,TK,203292000,
