Partner,,HS Code,Product,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Period/Period %  Change (Value),Reporter Code,Partner Code,Product Code,
Mayotte,1,203194000,"SWN MT,FR/CH",0,0,0,0,0,0,0,0,0,45,,US,MF,203194000,
Mayotte,2,203121000,"HM,SH,PRC,FR,CH",24,0,0,0,0,0,0,0,0,0,,US,MF,203121000,
Argentina,1,203121000,"HM,SH,PRC,FR,CH",0,0,0,0,0,144,0,0,0,24,,US,AR,203121000,
Argentina,2,203110000,"SWN CRC,FR,CH",0,0,0,0,3,0,0,0,0,0,,US,AR,203110000,
Argentina,3,203192000,"SWN MT,PRC,FR,CH",0,0,0,0,0,3,0,0,0,0,,US,AR,203192000,
Argentina,4,203194000,"SWN MT,FR/CH",0,0,89,0,0,0,0,0,0,0,,US,AR,203194000,
Palau,1,203129000,"HM/SH X PC,FR,CH",0,0,0,0,26,0,0,0,0,4,,US,PS,203129000,
French Ind. Ocean Territory(*),1,203129000,"HM/SH X PC,FR,CH",0,0,0,0,3,0,0,0,0,3,,US,X6,203129000,
French Ind. Ocean Territory(*),2,203192000,"SWN MT,PRC,FR,CH",6,0,0,0,0,0,3,0,0,0,,US,X6,203192000,
French Ind. Ocean Territory(*),3,203194000,"SWN MT,FR/CH",28,47,62,70,47,51,8,0,8,0,,US,X6,203194000,
Hungary,1,203129000,"HM/SH X PC,FR,CH",0,0,0,0,0,0,0,0,0,3,,US,HU,203129000,
Hungary,2,203192000,"SWN MT,PRC,FR,CH",0,0,7,0,0,0,0,0,0,0,,US,HU,203192000,
United Arab Emirates,1,203110000,"SWN CRC,FR,CH",0,0,0,271,0,0,0,0,0,0,,US,AE,203110000,
United Arab Emirates,2,203121000,"HM,SH,PRC,FR,CH",0,0,12,0,0,80,0,30,0,0,,US,AE,203121000,
United Arab Emirates,3,203129000,"HM/SH X PC,FR,CH",25,0,3,180,0,42,51,0,0,0,,US,AE,203129000,
United Arab Emirates,4,203192000,"SWN MT,PRC,FR,CH",31,31,9,22,0,40,126,207,"2,254",0,,US,AE,203192000,
United Arab Emirates,5,203194000,"SWN MT,FR/CH",14,18,0,0,5,638,252,0,0,0,,US,AE,203194000,
Afghanistan,1,203194000,"SWN MT,FR/CH",37,0,0,0,0,0,0,0,0,0,,US,AF,203194000,
Albania,1,203121000,"HM,SH,PRC,FR,CH",0,0,0,0,76,0,0,0,0,0,,US,AL,203121000,
Albania,2,203129000,"HM/SH X PC,FR,CH",0,0,0,199,709,72,0,0,0,0,,US,AL,203129000,
Albania,3,203192000,"SWN MT,PRC,FR,CH",0,0,0,0,0,0,0,0,105,0,,US,AL,203192000,
Albania,4,203194000,"SWN MT,FR/CH",73,0,0,0,0,0,0,0,0,0,,US,AL,203194000,
Burma,1,203194000,"SWN MT,FR/CH",3,16,0,0,0,0,0,0,0,0,,US,BM,203194000,
Brazil,1,203121000,"HM,SH,PRC,FR,CH",0,3,22,0,0,0,0,0,0,0,,US,BR,203121000,
Brazil,2,203129000,"HM/SH X PC,FR,CH",0,9,0,0,0,0,0,0,0,0,,US,BR,203129000,
Brazil,3,203192000,"SWN MT,PRC,FR,CH",0,0,87,0,0,0,41,0,0,0,,US,BR,203192000,
Brazil,4,203194000,"SWN MT,FR/CH",0,0,0,8,0,0,0,0,0,0,,US,BR,203194000,
Congo (Brazzaville),1,203129000,"HM/SH X PC,FR,CH",0,0,0,0,108,0,0,0,0,0,,US,CF,203129000,
Cyprus,1,203121000,"HM,SH,PRC,FR,CH",0,0,0,0,0,0,0,14,0,0,,US,CY,203121000,
Denmark,1,203110000,"SWN CRC,FR,CH",0,33,0,0,0,0,0,0,0,0,,US,D1,203110000,
Denmark,2,203192000,"SWN MT,PRC,FR,CH",0,4,0,0,0,0,0,0,0,0,,US,D1,203192000,
Djibouti,1,203192000,"SWN MT,PRC,FR,CH",15,0,0,0,0,0,0,0,0,0,,US,DJ,203192000,
